Query File,Target File
Party Animals__Hava Naquila,b__bb642baa50109906ab18dcc252d4a171
The Pasadenas__I'm Doing Fine Now,c__c521b6ed57d8a24132678c1465ab80c4
The Righteous Brothers__Unchained Melody.3,f__f7e27542112d10dce10a9e152f2bda61
The Righteous Brothers__You've Lost That Lovin' Feelin'.4,e__e987739202c7a2e3dbfd67ee8a1ed891
The Righteous Brothers__The Blues,7__792d197882d4eea59fb573f193249b5e
The Righteous Brothers__Unchained Melody.1,a__a00fc4c5c462700a39eb340bd2f9e2fe
The Righteous Brothers__You've Lost That Lovin' Feelin',b__bc25dcd3a84baf8c082665dbca8f66ce
The Righteous Brothers__Unchained Melody.4,6__6e27617f877ebe66a3fbcb2210256ff7
The Righteous Brothers__Unchained Melody.6,4__4f9fc6d8c7c030e7e73e1ff51e20fab1
The Righteous Brothers__Unchained Melody.5,f__fd5b94b156937841157f18d7390440ed
The Righteous Brothers__Unchained Melody.2,4__4044da44cae34642df5ad90ce01e5821
The Righteous Brothers__Unchained Melody.7,c__cfd944488d0e8b203f50b06144ec22f8
The Righteous Brothers__You've Lost That Lovin' Feelin'.3,9__90b6f96a3a5ea39fb81870ad4711dbfc
The Righteous Brothers__Unchained Melody,7__727b3d2533b7c7d1023bd64d94fc9a79
The Righteous Brothers__You've Lost That Lovin' Feelin'.2,7__7b52d0532a6a13246b772930fbcbecfe
The Righteous Brothers__You've Lost That Lovin' Feelin'.1,d__d9882911372cef85829d144403a290ea
Eminem__Guilty Conscience,e__e23d52b1215ab68a90407e71e583b765
Eminem__Role Model,7__7c2bf81472e3001f126bdb15b08e75d1
Eminem__Under the Influence,4__41a8f4f63c442c7146e2c1baa31a9b2b
Eminem__Kim,0__09bcf9be41f436b6615a2cd9003a778c
Eminem__Stan,2__2d8b6fb9067db94e3b206e994fd56948
Eminem__The Way I Am,3__3d5a78da77f009eb88641731e91d6982
Eminem__Bad Meets Evil,2__2b9ac922c9da7ef5ecd9f1a09dd50c57
Eminem__The Real Slim Shady,7__7b8423cbfec6ba4853a04d1c6c65817b
Prince__Interactive,b__b76c818ddda159aec1bf50622ee8e04d
Prince__Raspberry Beret,5__57a7bd7572d0dd17868876b7e3cd8239
Prince__Get Off,4__42faa6c0fecfae27e74c366ef02a278d
Prince__Nothing Compares 2 U,b__b691c46ccf7a999056a3deb1206de385
Prince__Kiss Kiss.5,c__c49d83b259053b22e0ead119a94d1a74
Prince__Cream.3,d__d7860bb0dad28aef79c6750ba9d10351
Prince__Let It Go.3,6__6e3886ede3455881c84222584d241069
Prince__When Doves Cry,c__c6044696c5c7d63a5fa4194bf95674fe
Prince__Diamonds & Pearls,d__d213be69d296ec454302fb879b5ea9b6
Prince__Little Red Corvette.1,e__eafc37055d67ccdc252372b7035025b5
Prince__When Doves Cry.3,3__3cf3c28bad8ac6ddaf4afe22dc18f7d2
Prince__Papa,d__d7f0043aac6324492b0f031d67803505
Prince__The Most Beautiful Girl in the World.2,8__8e1723e476100d3997078e080b923b91
"Prince__Do Me, Baby",c__caed7558016b8ad3d240f383b4d44e5a
Prince__1999.4,6__6a91b87333cc482fb21d621a9d3ac42e
Prince__1999.3,2__21f2d35b720cb88ecd47529591792f26
Prince__Raspberry Beret.1,c__cdd6d6d2ae8ee29ad551ce088a3c7e32
Prince__1999,b__b301d027fb1d02ebb2a20c46029ebdd5
Prince__Let's Go Crazy.4,3__3c1182c119f154596b5023c1fa984133
Prince__The Most Beautiful Girl in the World.1,e__ec4b4cbbbca5647e43f871a3ed7f4209
Prince__1999.1,d__d52fb9c6e7f8fd9372df6bc383698923
Prince__The Ballad of Dorothy Parker,e__e3f67187d37513c8680eef67ce712c29
Prince__Batdance,d__d21a3773dba7045dd9a7353fdd154a80
Prince__U Got the Look.2,7__70e90dad7aa6760fe930d15d938c8376
Prince__When Doves Cry.1,b__b7f2325cc3bd7a954ad4fdd7eb62bfc0
Prince__Let's Go Crazy.3,d__dbdf475a68ab71da184ab84f69770331
Prince__Let's Go Crazy.1,f__f77926b4e7c7276fe38940a782460961
Prince__1999.6,c__c230144ea4df9a27b144da4c11b72e80
Prince__Raspberry Beret.4,3__351196bb7a0294248ae1fc8666bbbb00
Prince__1999.5,1__16a4fd15d51c4bda5d3854efd0830699
Prince__Kiss Kiss.2,e__eb06c2f5d34775c550f187b35b2008f6
Prince__Nothing Compares 2 U.1,e__eaef43dd3ed7e30dd7f55a359a6cb779
Prince__Sign o' the Times,9__95f84bfe0a0e1babed12592821571790
Prince__Mountains,c__c91d4887b6354400f63d6cf01a47f43b
Prince__I Wanna Be Your Lover,4__4ea05cb8bfc5c1214b892f5f3ec4aab1
Prince__U Got the Look.1,4__48c53b74dc5dd56f89d0db6c32e70f7f
Prince__Diamonds & Pearls.1,e__ef1ae15a67f374ad98d53dcdd7cf3b09
Prince__Purple Rain.2,c__c5a6fd9720ad2906b6073f60874b9820
Prince__Little Red Corvette.2,b__b7aef49916b7ee041ed0b7aa8d2d4832
Prince__Batdance.1,3__3afa82e0f82538a239fe030b0e6f82a4
Prince__Let It Go.1,1__116d50a91f078c7fdac6850779f1f9c1
Prince__Purple Rain,3__33956aec938e693e8362ffd13d5e3156
Prince__Let's Go Crazy.2,b__b579a07c500dd055a307bb0f6661b684
Prince__I Feel for You,e__e983e6fe68e04919c39c04595730644f
Prince__Gold,5__52a3c3552db032b575d8c54da34daaca
Prince__You Got the Look.1,c__c35db360fd27c09c388b7fb954a2b296
Prince__Purple Rain.1,d__de1fb1e3ebd1b0955df9c108701b58e6
Prince__Cream,a__a569152c17f0d9d4dbf4c0cf49278078
Prince__Dolphin,9__9c924c04a4650a1c61ac5101510c71fd
Prince__Let It Go.2,c__c4f4bd853d9d475319b48d7ef4399c86
Prince__Kiss Kiss.3,4__496f320779e49607fbc9a7e184766f8c
Prince__Cream.1,e__e371cdffdb4a53939239fd2aa7820645
Prince__The Beautiful Ones,e__ecb307a0df71e02eb6ac4d28f5dfcde9
Prince__I Could Never Take the Place of Your Man,1__1f16a70673ac66d2a7de613f741ce5d3
Prince__I Would Die 4 U,7__74291da8fccd3c9f751d627d7aea73df
Prince__The Most Beautiful Girl in the World.3,3__3b37d339af469a098dfbcacb5f3a5b69
Prince__1999.2,e__e906e71a6cc2891d2fb944f9773af684
Prince__The Most Beautiful Girl in the World,0__0c1ee794d95cc6da9297efb62b9f6a6d
Prince__U Got the Look,0__0bd75bf9b2552805a3fe26566d5c921d
Prince__You Got the Look,5__5baa47d0e13a199f5d7afa65fd3b9759
Prince__Sign o' the Times.1,0__085ec67b9d24e79b3a8e904637741069
Prince__Take Me With U,7__71887a7b440be6a0b5124af232d791c7
Prince__Get Off.1,a__a6bffb3ace12e9fb13874cc6064daeb5
Prince__Interactive.1,4__4287adba95998cb8850445d2f6394a00
Prince__Raspberry Beret.2,a__a04d6f748582e3bb25fc2d1108f71573
Prince__Let's Go Crazy,7__74d11915b347bd4444c06d23f4e36a24
Prince__Kiss Kiss.4,1__1756984e1b2a4b4de3c8b27ae1a2ca71
Prince__Kiss Kiss.1,d__d7e6748ea253798b1d83a5f389e10098
Prince__Little Red Corvette,d__d226c3a51efc2624bfd7437985dc0c34
Prince__Let It Go,b__bfaa5c91f03448877c6e45aaec516d1e
Prince__The Arms of Orion,7__7049c1fd5643a08259ed0cde77566b3e
Prince__When Doves Cry.2,6__61505dfbb0ce3ea8b1b108874c55cb70
Prince__Cream.2,c__ce62156187eb806b92f2c474d58e7f62
Prince__Kiss Kiss,c__c75bdce501a77ed14e89a435064d61bf
Prince__When You Were Mine,a__a9fd4c94a726931878e7f4d5d3772552
Prince__Diamonds & Pearls.2,b__b2795670d58fe799f5889bd34a890110
Prince__Raspberry Beret.3,a__a8a214f06f84875c3928d8b5bc118193
Jimmy Ruffin__What Becomes of the Broken Hearted,a__a7bc7fd30efcd6ba217b6fc154dfe537
Eric Clapton__Lay Down Sally.4,2__2fe95b91dc07314c312176c8c8af0118
Eric Clapton__Layla.6,7__72e48e7ca4c317fe9cba996b0e419405
Eric Clapton__Let It Grow,b__b2b6ade0e5b43f9289fb3df9318ec4ef
Eric Clapton__Wonderful Tonight.1,b__ba04ac6b4974b1419b67a3e3e5a32691
Eric Clapton__Pretending,2__2f7ecb9dce2d92a8de0ed1779f8286b6
Eric Clapton__I've Got a Rock 'n' Roll Heart.1,8__83b7e405a51206c85537689ee2720217
Eric Clapton__Lay Down Sally.1,0__099d4c0d2d914a89976b174698e5253f
Eric Clapton__I Shot the Sheriff.5,5__50e21d9b4cb52ab34fb9fa01313f8f43
Eric Clapton__Let It Grow.3,3__37e243161ac051db3a9e53f505de5efb
Eric Clapton__Change the World.2,d__dc20694688efc52bce5b39999c09697a
Eric Clapton__Let It Grow.4,5__50a47f3e6dc001efc89d9dabb8d61dbf
Eric Clapton__Tears in Heaven.3,a__a8c46e465e9e73942aa218fa05aab4ae
Eric Clapton__Bad Love.3,8__8028680bd44adae3cc5c3651598b6e9f
Eric Clapton__Cocaine.3,b__b91cc0cbcd12537fd757ee744c8e8518
Eric Clapton__Born Under a Bad Sign,2__26709364ebef444f80ce611a35cb04e0
Eric Clapton__Cocaine.2,9__954208fef1f5672b0f752d7079c587fa
Eric Clapton__Wonderful Tonight.2,6__6f85838f8e907975732ddac49223afaa
Eric Clapton__I Shot the Sheriff,e__e9a4e4c6909d374cfea0acf334e5627c
Eric Clapton__White Room.2,7__7a6381d46dfe456225f503244457eeb7
Eric Clapton__I Shot the Sheriff.3,9__947f0f85d19ff6576096c19ec7fe9473
Eric Clapton__Tears in Heaven.1,3__346ffc5a63916642dda9c990d144540d
Eric Clapton__Wonderful Tonight.3,e__ebb1f66388fc37b8fd328ad85d5a52b4
Eric Clapton__Layla.5,6__6ffaa55e4dcf1def5b6d80d83785b536
Eric Clapton__Before You Accuse Me,2__282e157ba35b09bd5a3040b969518176
Eric Clapton__Wonderful Tonight.6,d__dc460123023c30c77e08ee65e0021b5e
Eric Clapton__White Room,d__db99d9a1b06dc12517e85fe834983949
Eric Clapton__Rollin' & Tumblin',e__eea4d9fc7940a68764ff5a27c0201a7e
Eric Clapton__Layla.1,2__287c4825d862e5dff57f414d093ed6a4
Eric Clapton__White Room.3,a__a837933ff187170c45069bdec1ee3ab3
Eric Clapton__Wonderful Tonight.5,6__62e3f3dd0daa0a7d18196c072393a752
Eric Clapton__Tears in Heaven.7,8__8e17cd044df47f292584f96e70cd4b13
Eric Clapton__Strange Brew,0__0a1dc6a5caf12a2cab9d658cecc86681
Eric Clapton__Presence of the Lord,4__47a98fd185ad8f850b1b0bfb0c89d24e
Eric Clapton__I Shot the Sheriff.1,d__d3ea79e4cb95bc97ffb53741e0fca633
Eric Clapton__White Room.4,d__d92886885cb85bc3dc9d8da703c3637d
Eric Clapton__Sunshine of Your Love,a__a9f982197cc453a46d9284122edc5bf3
Eric Clapton__Layla.3,4__488fa7672407877471d9f655b659783b
Eric Clapton__Lay Down Sally.2,6__62f4865ccfa6c58ae1ffa74cca2024d0
Eric Clapton__Layla.2,4__4b6a3d1912c94f2db8453b7d78741db5
Eric Clapton__Sunshine of Your Love.1,b__b0aabe66b50b5c04c640900842b94cc0
Eric Clapton__Cocaine,e__ef16a3cb36740c5ff395301edc6aaee1
Eric Clapton__Bell Bottom Blues.1,d__dedc3931942359a2130eb0e59685fbcc
Eric Clapton__Sunshine of Your Love.2,b__bb3cb3e97bfde85126e07e0bd424158a
Eric Clapton__Bad Love.1,e__efeaa4157590927a1086ffc316558ce2
Eric Clapton__I Shot the Sheriff.4,2__2e01183cf83061a98292a4d7aefdae89
Eric Clapton__Let It Grow.2,c__c913a407a7ec560ff0f5f5284c6aa4c1
Eric Clapton__Key to the Highway,2__208b64102b5f3d42d0da5716a20300ef
Eric Clapton__Bell Bottom Blues.2,7__73f4f536d3d42293bd789b342985e38c
Eric Clapton__Sunshine of Your Love.3,5__55e3c7b98ca6cb7eb889dbdfd732713c
Eric Clapton__Bad Love.4,b__b5331047299cd7f411d891b837fb768a
Eric Clapton__Lay Down Sally.3,4__490cea61c9af8013169c1be6195c52d4
Eric Clapton__Tears in Heaven.4,3__3ccb3facb9fc337397520b6a153afc0a
Eric Clapton__Change the World,c__cf737935e1a7faf683fb860300441afa
Eric Clapton__I've Got a Rock 'n' Roll Heart,f__f6dd0e373e3a24038dae5af6752d8325
Eric Clapton__Layla.4,0__027d68878e8609e4cb79ddc592f8c4f1
Eric Clapton__After Midnight,9__907903d4113068b08461cfcc7f3d8bd8
Eric Clapton__Wonderful Tonight,e__ee875e26202d5991a5ae674db25fdb1c
Eric Clapton__Wonderful Tonight.4,b__b917a794a59b147b1602522a1162da2c
Eric Clapton__Cocaine.1,5__54f3f1c4131a84b2a30c3c2ade9499f0
Eric Clapton__Bad Love,4__4d28c24a8761c53ae7f4cc63a43f0634
Eric Clapton__Tears in Heaven.2,7__76651e6d1f4cf3e30c6b76f21031b0c3
Eric Clapton__Bad Love.6,d__d75aaa5c56d180dd62d2d9e8c8ff60c2
Eric Clapton__Nobody Knows You When You're Down & Out,9__93b4b59a0b6f6fe645f91f87ebdc9bed
Eric Clapton__White Room.1,1__12d79875ee2882ce4db78e2ff4a7cb70
Eric Clapton__My Father's Eyes (take 2),9__9b770f29fdb976f7323f689eda6209f3
Eric Clapton__I've Got a Rock 'n' Roll Heart.2,7__7deb290efe11a75df30b9327325195c0
Eric Clapton__Signe,3__37710e5ca2a5768f1780a38b8dae7a14
Eric Clapton__Blue Eyes Blue,4__40858430825c11238d22a560e104822a
Eric Clapton__Forever Man,c__c34f064df357ae25a0df32a1c9bcff7b
Eric Clapton__Layla,7__78543ca26bfd424f1f8f8c82831e1d56
Eric Clapton__Tears in Heaven.5,a__adc2934f77944b7fe1812a74f0153464
Eric Clapton__Let It Grow.1,c__c9169b2ec12cf4f06a9efe2179993a09
Eric Clapton__Bad Love.2,7__796c300ec539fb8aa628889f3c1312cc
Eric Clapton__I Shot the Sheriff.2,c__c09488bff495b98fb34a8594843e0c57
Eric Clapton__Crosscut Saw,7__7dc96fa81223bc61e27500b300f7eda6
Eric Clapton__Lay Down Sally,b__bc7009f52f52c83311a829d9873a697c
Eric Clapton__Wonderful Tonight.7,b__b942476728817dfaf53ed61745214027
Eric Clapton__Tears in Heaven,5__50b5c761d3c37b22e0ab9ccddf714cdf
Eric Clapton__Bell Bottom Blues,0__0cf4a74f8b4333e457240312ade58060
Eric Clapton__Let It Grow.5,e__e80c40a6d7302a094ffdbd9bbbf1115b
Eric Clapton__Bad Love.5,8__8767dcb502d55841e2aed2f2ce34615b
Eric Clapton__Running on Faith,1__1871c1bafa5bc5a04273aa7348673152
Eric Clapton__Tears in Heaven.6,b__bbff58083a1cd86ccc2bde4144f04f39
Eric Clapton__Knockin' on Heaven's Door,3__3367cb2f9767765ee5a933edfa1820d5
Eric Clapton__After Midnight.1,c__c40f11b587c77ff602d8207ddb991cc0
Eric Clapton__She's Waiting,1__1753b3cd2c69f6a27bf70873daeb29e6
Eric Clapton__Lay Down Sally.5,1__13e6b37f7d3d8e6bd161c113464e04a5
Eric Clapton__Lay Down Sally.6,3__3ba93cbde0be89fe83482df7a373ad7c
Humperdinck Engelbert__I Wanna Rock You,f__f56d4b90a4e1ed46a2d51354e589b4c4
Humperdinck Engelbert__The Last Waltz.2,5__57fe05f1e8b362e7c856f22c5e234eae
Humperdinck Engelbert__The Last Waltz.1,3__3f708d632490a3296a7f220e100c2b7c
Humperdinck Engelbert__There Goes My Everything,b__b649bb9cdd5af18e0cd2bf73e41efb81
Humperdinck Engelbert__Aba Heidschi Bumbeidschi,a__ad40f98867424c70ec84e1460533eba9
Humperdinck Engelbert__Radio Dancing,0__03ad1468b3162b66d2e849218d4187e7
Humperdinck Engelbert__Please Release Me (Let Me Go),9__96929444d7fca37a2deb87b2f2de9f0b
Humperdinck Engelbert__After The Lovin',f__f05ec599597ec0556aa9b639e7af8302
Humperdinck Engelbert__Red Roses for My Lady,d__d65b76cbc544658025ae382dcad1e5f7
Humperdinck Engelbert__Radio Dancing.1,d__dd1ecb5d8c8d681db4a0acbcd2157582
Humperdinck Engelbert__The Spanish Night Is Over,7__798be06a79503b926f773c75525457f4
Humperdinck Engelbert__Portofino.2,9__94a94a96c4838492e9a3b5839893f28f
Humperdinck Engelbert__Alone In The Night,2__24798b7b54ae11c8fe8cd3961fcc1eeb
Humperdinck Engelbert__Portofino,7__73cd7455d69ff7398d5bacd7edb53110
Humperdinck Engelbert__On the Wings of a Silverbird,4__4196bcb7cf7adbf7ec4604a7b5f2e455
Humperdinck Engelbert__Can't Take My Eyes Off You,2__2a77f3ba6203e1071b6297392ea02de8
Humperdinck Engelbert__The Spanish Night Is Over.2,5__5eb86f32eff37525de2854638d7c27fc
Humperdinck Engelbert__Portofino.1,f__f1ed4f82964b349ddef5176f2ab7fcec
Humperdinck Engelbert__The Spanish Night Is Over.1,2__2d3660803a4455053925d6ef22535bab
Humperdinck Engelbert__To All The Girls I've Loved Before,d__d01549636553342f186a4bac52af3a44
Humperdinck Engelbert__Alone In The Night.1,b__b54e0f6fa09c81bca8b7060a32172997
Humperdinck Engelbert__The Last Waltz,3__342412955170ab8d76f6e08a57cbb9ac
Humperdinck Engelbert__To All The Girls I've Loved Before.1,e__ebec733c0992ad010812abe32c850a68
Peter Koelewijn & Zijn Rockets__Kom Van Dat Dak Af,5__529554b9e3687f754ce68ed028b0aed0
Boris Gardiner__I Wanna Wake Up With You,7__7e31c56d5af1d39984e5397e055ee300
Boris Gardiner__I'm Falling in Love,4__4370214eb16e44da051c9344cf01463f
Boris Gardiner__Cara mia,0__04ef5b25bbb03b765be7a6d82904f658
Boris Gardiner__Wrong End of the Rainbow,d__d5828d205b4864f3b7b4d77ec4c4caff
Boris Gardiner__I Wanna Wake Up With You.1,0__053d29bb9f91368e9607407d4e58b41b
Boris Gardiner__I Wanna Wake Up With You.2,7__71ab2570443f64eeb821b7db3d086878
Billy Ocean__When the Going Gets Tough,5__5575f47e8dce3522559ecebcd67baeb8
"Billy Ocean__Get Outta My Dreams, Get Into My Car",2__2b04913a52a96951cca665b6d4fe8f13
Billy Ocean__Suddenly,3__383057b713c08bdeed10b499d2f064fe
Billy Ocean__Suddenly.1,d__db51f0c2abfd803efb4dd6836159df10
Billy Ocean__Loverboy,8__8069ddb97a43e55c518508f13b23c012
Billy Ocean__Carribean Queen,9__9b449ae29fbbd0b1c2c0b5cdba051375
The Cult__Rain,1__1f9c2ca1b989ad24dffc8b665b21b868
The Cult__Wild Flower,5__5907d9b2a57a53240df74342d2ed9b21
The Cult__(She Sells) Sanctuary,6__6faa1ee9fcea9b67ae423fe57778a65b
The Cult__Wild Hearted Son,2__2c6e95310733b9865d13a9036fde51f0
The Romantics__Talking In Your Sleep,2__28e627a53437426de6c5a58356a2e135
The Romantics__What I Like About You,1__163f35a170f16f181ddb8350730d1f3e
Eddy Grant__Electric Avenue,0__02ec8f64360a45bf7bb9657cafe55b4b
Eddy Grant__Gimme Hope Jo'Anna.1,8__8167837da8e199823d1094fcbb453797
Eddy Grant__Gimme Hope Jo'Anna,3__3b3d0465a7e7435b493e0c4f81d3b701
Eddy Grant__Walking on Sunshine,2__2734fb5dcf484172ef261c39d0cb1b94
Eddy Grant__I Don't Wanna Dance.1,5__560ee046ff61d5ad3bb7ec241ea280c3
Eddy Grant__I Don't Wanna Dance,1__1fb2f403fec4b9e8f655a64bcb7f0d1b
Real Thing__You to Me Are Everything,5__538f8f75c8beebd2df1b0bfb1a935976
Real Thing__Can You Feel The Force?,6__658673ae1f6d5d63cb0a5e906eed4d27
Ry Cooder__Little Sister,7__708432cc93b90a32d4a7196b7f2ddbb7
Worlds Apart__Je Te Donne,b__bfb829ba4dddca341aea524e0574712a
Alpentrio Tirol__Alpentrio Hitmix: Alpentrio-Medley   Hast a bisserl Zeit fur mi   Tepperter Bua   Hallo kleine Traumfrau   Vergiss die Liebe nicht   Ich freu' mich schon auf dich   Ich hab was ganz lieb's traumt von dir   Geheimnis der Johannesnacht   Engel v. Ma.1,f__f64a8ed5af67496d0f5fe4940d88ab51
Alpentrio Tirol__Alpentrio Hitmix: Alpentrio-Medley   Hast a bisserl Zeit fur mi   Tepperter Bua   Hallo kleine Traumfrau   Vergiss die Liebe nicht   Ich freu' mich schon auf dich   Ich hab was ganz lieb's traumt von dir   Geheimnis der Johannesnacht   Engel v. Ma,1__1355d5baf2e9a7ae81ce0e0dfce6a3c8
Men Without Hats__The Safety Dance,4__41424a47ce03e308e1288d60376452b7
Elvin Bishop__Fooled Around and Fell in Love.1,f__fcfbcc54451c8db68f603a01472221a0
Elvin Bishop__Fooled Around and Fell in Love,0__0ce078b017b06e0cb4bef4a0ada76ac8
Chris Montez__Let's Dance.2,c__cdf0c7a353c5d14cb12a59c6d1c507ec
Chris Montez__Ay No Digas,d__d8ea1a4176760116fd59de4fa1a80e1f
Chris Montez__Let's Dance,f__f2bf6ec2f26dd8e4f9db34592709dae7
